,sim,szn,terr,data_avail,rank,rank_stat
0,ens,APR,1,0.0,,
1,ens,APR,4,60.0,2.0,0.28
2,ens,APR,6,60.0,1.0,-0.147
3,ens,AUG,1,0.0,,
4,ens,AUG,4,62.0,3.0,0.165
5,ens,AUG,6,62.0,2.0,0.546
6,ens,DEC,1,0.0,,
7,ens,DEC,4,31.0,4.0,0.709
8,ens,DEC,6,31.0,4.0,0.939
9,ens,FEB,1,0.0,,
10,ens,FEB,4,57.0,3.0,0.366
11,ens,FEB,6,57.0,4.0,0.538
12,ens,JAN,1,0.0,,
13,ens,JAN,4,61.0,4.0,0.256
14,ens,JAN,6,61.0,3.0,0.481
15,ens,JUL,1,1.0,,
16,ens,JUL,4,62.0,2.0,0.501
17,ens,JUL,6,62.0,3.0,0.986
18,ens,JUN,1,0.0,,
19,ens,JUN,4,60.0,3.0,0.959
20,ens,JUN,6,60.0,4.0,0.999
21,ens,MAR,1,0.0,,
22,ens,MAR,4,62.0,4.0,0.232
23,ens,MAR,6,62.0,3.0,0.132
24,ens,MAY,1,0.0,,
25,ens,MAY,4,62.0,4.0,0.994
26,ens,MAY,6,62.0,4.0,0.978
27,ens,NOV,1,0.0,,
28,ens,NOV,4,30.0,3.0,0.122
29,ens,NOV,6,30.0,2.0,-0.276
30,ens,OCT,1,0.0,,
31,ens,OCT,4,31.0,2.0,-0.402
32,ens,OCT,6,31.0,2.0,0.262
33,ens,SEP,1,0.0,,
34,ens,SEP,4,39.0,3.0,-0.739
35,ens,SEP,6,39.0,3.0,-0.379
36,era5,APR,1,0.0,,
37,era5,APR,4,60.0,1.0,0.203
38,era5,APR,6,60.0,3.0,-0.108
39,era5,AUG,1,0.0,,
40,era5,AUG,4,62.0,1.0,0.133
41,era5,AUG,6,62.0,1.0,0.53
42,era5,DEC,1,0.0,,
43,era5,DEC,4,31.0,1.0,0.682
44,era5,DEC,6,31.0,4.0,0.939
45,era5,FEB,1,0.0,,
46,era5,FEB,4,57.0,2.0,0.31
47,era5,FEB,6,57.0,3.0,0.529
48,era5,JAN,1,0.0,,
49,era5,JAN,4,61.0,1.0,0.106
50,era5,JAN,6,61.0,1.0,0.439
51,era5,JUL,1,1.0,,
52,era5,JUL,4,62.0,1.0,0.487
53,era5,JUL,6,62.0,4.0,0.987
54,era5,JUN,1,0.0,,
55,era5,JUN,4,60.0,1.0,0.953
56,era5,JUN,6,60.0,3.0,0.998
57,era5,MAR,1,0.0,,
58,era5,MAR,4,62.0,2.0,0.114
59,era5,MAR,6,62.0,2.0,0.0672
60,era5,MAY,1,0.0,,
61,era5,MAY,4,62.0,4.0,0.994
62,era5,MAY,6,62.0,2.0,0.974
63,era5,NOV,1,0.0,,
64,era5,NOV,4,30.0,2.0,0.118
65,era5,NOV,6,30.0,3.0,0.052
66,era5,OCT,1,0.0,,
67,era5,OCT,4,31.0,4.0,-0.195
68,era5,OCT,6,31.0,1.0,0.136
69,era5,SEP,1,0.0,,
70,era5,SEP,4,39.0,1.0,-0.754
71,era5,SEP,6,39.0,4.0,-0.378
72,jra55,APR,1,0.0,,
73,jra55,APR,4,60.0,4.0,0.315
74,jra55,APR,6,60.0,4.0,-0.0906
75,jra55,AUG,1,0.0,,
76,jra55,AUG,4,62.0,4.0,0.171
77,jra55,AUG,6,62.0,3.0,0.567
78,jra55,DEC,1,0.0,,
79,jra55,DEC,4,31.0,3.0,0.693
80,jra55,DEC,6,31.0,2.0,0.937
81,jra55,FEB,1,0.0,,
82,jra55,FEB,4,57.0,2.0,0.31
83,jra55,FEB,6,57.0,3.0,0.529
84,jra55,JAN,1,0.0,,
85,jra55,JAN,4,61.0,2.0,0.22
86,jra55,JAN,6,61.0,4.0,0.492
87,jra55,JUL,1,1.0,,
88,jra55,JUL,4,62.0,4.0,0.549
89,jra55,JUL,6,62.0,1.0,0.982
90,jra55,JUN,1,0.0,,
91,jra55,JUN,4,60.0,4.0,0.96
92,jra55,JUN,6,60.0,3.0,0.998
93,jra55,MAR,1,0.0,,
94,jra55,MAR,4,62.0,3.0,0.169
95,jra55,MAR,6,62.0,1.0,0.0281
96,jra55,MAY,1,0.0,,
97,jra55,MAY,4,62.0,2.0,0.993
98,jra55,MAY,6,62.0,3.0,0.975
99,jra55,NOV,1,0.0,,
100,jra55,NOV,4,30.0,1.0,0.117
101,jra55,NOV,6,30.0,1.0,-0.316
102,jra55,OCT,1,0.0,,
103,jra55,OCT,4,31.0,3.0,-0.356
104,jra55,OCT,6,31.0,3.0,0.405
105,jra55,SEP,1,0.0,,
106,jra55,SEP,4,39.0,4.0,-0.116
107,jra55,SEP,6,39.0,1.0,-0.414
108,merra2,APR,1,0.0,,
109,merra2,APR,4,60.0,3.0,0.283
110,merra2,APR,6,60.0,2.0,-0.138
111,merra2,AUG,1,0.0,,
112,merra2,AUG,4,62.0,3.0,0.165
113,merra2,AUG,6,62.0,4.0,0.569
114,merra2,DEC,1,0.0,,
115,merra2,DEC,4,31.0,3.0,0.693
116,merra2,DEC,6,31.0,1.0,0.0681
117,merra2,FEB,1,0.0,,
118,merra2,FEB,4,57.0,4.0,0.369
119,merra2,FEB,6,57.0,1.0,0.52
120,merra2,JAN,1,0.0,,
121,merra2,JAN,4,61.0,3.0,0.226
122,merra2,JAN,6,61.0,2.0,0.456
123,merra2,JUL,1,1.0,,
124,merra2,JUL,4,62.0,3.0,0.504
125,merra2,JUL,6,62.0,3.0,0.986
126,merra2,JUN,1,0.0,,
127,merra2,JUN,4,60.0,2.0,0.956
128,merra2,JUN,6,60.0,3.0,0.998
129,merra2,MAR,1,0.0,,
130,merra2,MAR,4,62.0,1.0,-0.0363
131,merra2,MAR,6,62.0,4.0,0.208
132,merra2,MAY,1,0.0,,
133,merra2,MAY,4,62.0,1.0,0.992
134,merra2,MAY,6,62.0,2.0,0.974
135,merra2,NOV,1,0.0,,
136,merra2,NOV,4,30.0,4.0,0.193
137,merra2,NOV,6,30.0,4.0,0.169
138,merra2,OCT,1,0.0,,
139,merra2,OCT,4,31.0,1.0,-0.462
140,merra2,OCT,6,31.0,4.0,0.421
141,merra2,SEP,1,0.0,,
142,merra2,SEP,4,39.0,2.0,-0.753
143,merra2,SEP,6,39.0,2.0,-0.387
